Disease,Description,Essential_Features
Panic disorder,"Panic disorder is characterised by recurrent unexpected panic attacks that are not restricted to particular stimuli or situations. Panic attacks are discrete episodes of intense fear or apprehension accompanied by the rapid and concurrent onset of several characteristic symptoms (e.g. palpitations or increased heart rate, sweating, trembling, shortness of breath, chest pain, dizziness or lightheadedness, chills, hot flushes, fear of imminent death). In addition, panic disorder is characterised by persistent concern about the recurrence or significance of panic attacks, or behaviours intended to avoid their recurrence, that results in significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. The symptoms are not a manifestation of another medical condition and are not due to the effects of a substance or medication on the central nervous system.","Recurrent panic attacks, which are discrete episodes of intense fear or apprehension characterized by the rapid and concurrent onset of several characteristic symptoms. These symptoms may include, but are not limited to, the following:
Palpitations or increased heart rate
Sweating
Trembling
Sensations of shortness of breath
Feelings of choking
Chest pain
Nausea or abdominal distress
Feelings of dizziness or light-headedness
Chills or hot flushes
Tingling or lack of sensation in extremities (i.e., paraesthesias)
Depersonalization or derealization
Fear of losing control or going mad
Fear of imminent death
At least some of the panic attacks are unexpected, that is they are not restricted to particular stimuli or situations but rather seem to arise ‘out of the blue’.
Panic attacks are followed by persistent concern or worry (e.g., for several weeks) about their recurrence or their perceived negative significance (e.g., that the physiological symptoms may be those of a myocardial infarction), or behaviours intended to avoid their recurrence (e.g., only leaving the home with a trusted companion).
Panic attacks are not limited to anxiety-provoking situations in the context of another mental disorder.
The symptoms are not a manifestation of another medical condition (e.g., pheochromocytoma) and are not due to the direct effects of a substance or medication on the central nervous system (e.g., coffee, cocaine), including withdrawal effects (e.g., alcohol, benzodiazepines).
The symptoms result in significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Agoraphobia,"Agoraphobia is characterised by marked and excessive fear or anxiety that occurs in response to multiple situations where escape might be difficult or help might not be available, such as using public transportation, being in crowds, being outside the home alone (e.g., in shops, theatres, standing in line). The individual is consistently anxious about these situations due to a fear of specific negative outcomes (e.g., panic attacks, other incapacitating or embarrassing physical symptoms). The situations are actively avoided, entered only under specific circumstances such as in the presence of a trusted companion, or endured with intense fear or anxiety. The symptoms persist for least several months, and are sufficiently severe to result in significant distress or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning.","Marked and excessive fear or anxiety that occurs in, or in anticipation of, multiple situations where escape might be difficult or help might not be available, such as using public transportation, being in crowds, being outside the home alone, in shops, theatres, or standing in line.
The individual is consistently fearful or anxious about these situations due to a fear of specific negative outcomes such as panic attacks, symptoms of panic, or other incapacitating (e.g., falling) or embarrassing physical symptoms (e.g., incontinence).
The situations are actively avoided, are entered only under specific circumstances (e.g., in the presence of a companion), or else are endured with intense fear or anxiety.
The symptoms are not transient, that is, they persist for an extended period of time (e.g., at least several months).
The symptoms are not better accounted for by another mental disorder (e.g., paranoid ideation in Delusional Disorder; social withdrawal in Depressive Disorders).
The symptoms result in significant distress about experiencing persistent anxiety symptoms or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Specific phobia,"Specific phobia is characterised by a marked and excessive fear or anxiety that consistently occurs upon exposure or anticipation of exposure to one or more specific objects or situations (e.g., proximity to certain animals, flying, heights, closed spaces, sight of blood or injury) that is out of proportion to actual danger. The phobic objects or situations are avoided or else endured with intense fear or anxiety. Symptoms persist for at least several months and are sufficiently severe to result in significant distress or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning.","Marked and excessive fear or anxiety that consistently occurs upon exposure or anticipation of exposure to one or more specific objects or situations (e.g., proximity to certain kinds of animals, heights, enclosed spaces, sight of blood or injury) that is out of proportion to the actual danger posed by the specific object or situation.
The phobic object or situation is actively avoided or else endured with intense fear or anxiety.
A pattern of fear, anxiety, or avoidance related to specific objects or situations is not transient, that is, it persists for an extended period of time (e.g., at least several months).
The symptoms are not better accounted for by another mental disorder (e.g., Social Anxiety Disorder, a primary psychotic disorder).
The symptoms result in significant distress about experiencing persistent anxiety symptoms or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Social anxiety disorder,"Social anxiety disorder is characterised by marked and excessive fear or anxiety that consistently occurs in one or more social situations such as social interactions (e.g. having a conversation), doing something while feeling observed (e.g. eating or drinking in the presence of others), or performing in front of others (e.g. giving a speech). The individual is concerned that he or she will act in a way, or show anxiety symptoms, that will be negatively evaluated by others. Relevant social situations are consistently avoided or else endured with intense fear or anxiety. The symptoms persist for at least several months and are sufficiently severe to result in significant distress or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning.","Marked and excessive fear or anxiety that occurs consistently in one or more social situations such as social interactions (e.g., having a conversation), doing something while feeling observed (e.g., eating or drinking in the presence of others), or performing in front of others (e.g., giving a speech).
The individual is concerned that he or she will act in a way, or show anxiety symptoms, that will be negatively evaluated by others (i.e., be humiliating, embarrassing, lead to rejection, or be offensive).
Relevant social situations are consistently avoided or endured with intense fear or anxiety.
The symptoms are not transient; that is, they persist for an extended period of time (e.g., at least several months).
The symptoms are not better accounted for by another mental disorder (e.g., Agoraphobia, Body Dysmorphic Disorder, Olfactory Reference Disorder).
The symptoms result in significant distress about experiencing persistent anxiety symptoms or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Separation anxiety disorder,"Separation anxiety disorder is characterised by marked and excessive fear or anxiety about separation from specific attachment figures. In children and adolescents, separation anxiety typically focuses on caregivers, parents or other family members and the fear or anxiety is beyond what would be considered developmentally normative. In adults, the focus is typically a romantic partner or children. Manifestations of separation anxiety may include thoughts of harm or untoward events befalling the attachment figure, reluctance to go to school or work, recurrent excessive distress upon separation, reluctance or refusal to sleep away from the attachment figure, and recurrent nightmares about separation. The symptoms persist for at least several months and are sufficiently severe to result in significant distress or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning.","Marked and excessive fear or anxiety about separation from those individuals to whom the person is attached (i.e., with whom the individual has a deep emotional bond). In children and adolescents, key attachment figures that are most commonly the focus of separation anxiety include parents, caregivers, and other family members, and the fear or anxiety is beyond what would be considered developmentally normative. In adults, separation anxiety most often involves a spouse, romantic partner, or children. Manifestations of fear or anxiety related to separation depend on the individual’s developmental level, but may include:
Persistent thoughts that harm or some other untoward event (e.g., being kidnapped) will lead to separation.
Reluctance or refusal to go to school or work.
Recurrent excessive distress (e.g., tantrums, social withdrawal) related to being separated from the attachment figure.
Reluctance or refusal to go to sleep without being near the attachment figure.
Recurrent nightmares about separation.
Physical symptoms such as nausea, vomiting, stomachache, headache, on occasions that involve separation from the attachment figure, such as leaving home to go to school or work.
The symptoms are not transient, that is, they persist for an extended period of time (e.g., at least several months).
The symptoms are not better accounted for by another mental disorder (e.g., Agoraphobia, Personality Disorder).
The symptoms result in significant distress about experiencing persistent anxiety symptoms or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Selective mutism,"Selective mutism is characterised by consistent selectivity in speaking, such that a child demonstrates adequate language competence in specific social situations, typically at home, but consistently fails to speak in others, typically at school. The disturbance lasts for at least one month, is not limited to the first month of school, and is of sufficient severity to interfere with educational achievement or with social communication. Failure to speak is not due to a lack of knowledge of, or comfort with, the spoken language required in the social situation (e.g. a different language spoken at school than at home).","Consistent selectivity in speaking, such that a child demonstrates adequate language competence in specific social situations, typically at home, but consistently fails to speak in others, typically at school.
The duration of the disturbance is at least 1 month, not limited to the first month of school.
The disturbance is not due to a lack of knowledge of, or comfort with, the spoken language demanded in the social situation.
The symptoms are not better accounted for by another mental disorder (e.g., a Neurodevelopmental Disorder such as Autism Spectrum Disorder or Developmental Language Disorder).
Selectivity of speech is sufficiently severe so as to interfere with educational achievement or with social communication or is associated with significant impairment in other important areas of functioning."
Hypochondriasis,"Hypochondriasis is characterised by persistent preoccupation or fear about the possibility of having one or more serious, progressive or life-threatening illnesses. The preoccupation is accompanied by either: 1) repetitive and excessive health-related behaviours, such as repeatedly checking of the body for evidence of illness, spending inordinate amounts of time searching for information about the feared illness, repeatedly seeking reassurance (e.g. arranging multiple medical consultations); or 2) maladaptive avoidance behaviour related to health (e.g. avoids medical appointments). The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Persistent preoccupation or fear about the possibility of having one or more serious, progressive or life-threatening illnesses.
The preoccupation is accompanied by either:
Repetitive and excessive health-related behaviours, such as repeatedly checking of the body for evidence of illness, spending inordinate amounts of time searching for information about the feared illness, repeatedly seeking reassurance (e.g., arranging multiple medical consultations); or
Maladaptive avoidance behaviour related to health (e.g., avoids medical appointments).
The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Secondary anxiety syndrome,"A syndrome characterised by the presence of prominent anxiety symptoms judged to be a direct pathophysiological consequence of a health condition not classified under mental and behavioural disorders, based on evidence from the history, physical examination, or laboratory findings. The symptoms are not accounted for by delirium or by another mental and behavioural disorder, and are not a psychologically mediated response to a severe medical condition (e.g., anxiety symptoms or panic attacks in response to a life-threatening diagnosis). This category should be used in addition to the diagnosis for the presumed underlying disorder or disease when the anxiety symptoms are sufficiently severe to warrant specific clinical attention.","The presence of prominent anxiety symptoms (e.g., excessive worry, intense fear that is out of proportion to actual danger, panic attacks).
The symptoms are judged to be the direct pathophysiological consequence of a medical condition, based on evidence from the history, physical examination, or laboratory findings (as opposed to being a psychological reaction to having the medical condition). This judgment depends on establishing that:
The medical condition is known to be capable of producing the symptoms;
The course of the anxiety symptoms (e.g., onset, remission, response of the anxiety symptoms to treatment of the etiological medical condition) is consistent with causation by the medical condition; and
The symptoms are not better accounted for by Delirium, Dementia, another mental disorder (e.g., Anxiety or Fear-Related Disorders, Mood Disorders, Disorders Specifically Associated with Stress, and Obsessive-Compulsive or Related Disorders) or the effects of a medication or substance, including withdrawal effects.
The symptoms are sufficiently severe to be a specific focus of clinical attention."
Obsessive-compulsive disorder,"Obsessive-Compulsive Disorder is characterised by the presence of persistent obsessions or compulsions, or most commonly both. Obsessions are repetitive and persistent thoughts, images, or impulses/urges that are intrusive, unwanted, and are commonly associated with anxiety. The individual attempts to ignore or suppress obsessions or to neutralize them by performing compulsions. Compulsions are repetitive behaviours including repetitive mental acts that the individual feels driven to perform in response to an obsession, according to rigid rules, or to achieve a sense of ‘completeness’. In order for obsessive-compulsive disorder to be diagnosed, obsessions and compulsions must be time consuming (e.g. taking more than an hour per day) or result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Presence of persistent obsessions and/or compulsions.
Obsessions are repetitive and persistent thoughts (e.g., of contamination), images (e.g., of violent scenes), or impulses/urges (e.g., to stab someone) that are experienced as intrusive and unwanted, and are commonly associated with anxiety. The individual typically attempts to ignore or suppress obsessions or to neutralize them by performing compulsions.
Compulsions are repetitive behaviours or rituals, including repetitive mental acts, that the individual feels driven to perform in response to an obsession, according to rigid rules, or to achieve a sense of ‘completeness’. Examples of overt behaviours include repetitive washing, checking, and ordering of objects. Examples of analogous mental acts include mentally repeating specific phrases in order to prevent negative outcomes, reviewing a memory to make sure that one has caused no harm, and mentally counting objects. Compulsions are either not connected in a realistic way to the feared event (e.g., arranging items symmetrically to prevent harm to a loved one) or are clearly excessive (e.g., showering daily for hours to prevent illness).
Obsessions and compulsions are time-consuming (e.g., take more than 1 hour per day) or result in significant distress or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort.
The symptoms or behaviours are not a manifestation of another medical condition (e.g., basal ganglia ischemic stroke) and are not due to the effects of a substance or medication on the central nervous system (e.g., amphetamine), including withdrawal effects."
Body dysmorphic disorder,"Body Dysmorphic Disorder is characterised by persistent preoccupation with one or more perceived defects or flaws in appearance that are either unnoticeable or only slightly noticeable to others. Individuals experience excessive self-consciousness, often with ideas of reference (i.e., the conviction that people are taking notice, judging, or talking about the perceived defect or flaw). In response to their preoccupation, individuals engage in repetitive and excessive behaviours that include repeated examination of the appearance or severity of the perceived defect or flaw, excessive attempts to camouflage or alter the perceived defect, or marked avoidance of social situations or triggers that increase distress about the perceived defect or flaw. The symptoms are sufficiently severe to result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Persistent preoccupation with one or more perceived defects or flaws in appearance, or ugliness in general, that is either unnoticeable or only slightly noticeable to others.
Excessive self-consciousness about the perceived defect(s) or flaw(s), often including ideas of self-reference [i.e., the conviction that people are taking notice, judging, or talking about the perceived defect(s) or flaw(s)].
The preoccupation or self-consciousness is accompanied by any of the following:
Repetitive and excessive behaviours, such as repeated examination of the appearance or severity of the perceived defect(s) or flaw(s) (e.g., by checking in reflective surfaces) or comparison of the relevant feature with that of others;
Excessive attempts to camouflage or alter the perceived defect (e.g., specific and elaborate forms of dress, undergoing ill-advised cosmetic surgical procedures);
Marked avoidance of social or other situations or stimuli that increase distress about the perceived defect(s) or flaw(s) (e.g., reflective surfaces, changing rooms, swimming pools).
The symptoms are not a manifestation of another medical condition and are not due to the effects of a substance or medication on the central nervous system, including withdrawal effects.
The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Olfactory reference disorder,"Olfactory Reference Disorder is characterised by persistent preoccupation with the belief that one is emitting a perceived foul or offensive body odour or breath that is either unnoticeable or only slightly noticeable to others. Individuals experience excessive self-consciousness about the perceived odour, often with ideas of reference (i.e., the conviction that people are taking notice, judging, or talking about the odour). In response to their preoccupation, individuals engage in repetitive and excessive behaviours such as repeatedly checking for body odour or checking the perceived source of the smell, or repeatedly seeking reassurance, excessive attempts to camouflage, alter, or prevent the perceived odour, or marked avoidance of social situations or triggers that increase distress about the perceived foul or offensive odour. The symptoms are sufficiently severe to result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Persistent preoccupation about emitting a foul or offensive body odour or breath (i.e., halitosis) that is either unnoticeable or slightly noticeable to others such that the individual’s concerns are markedly disproportionate to the smell, if any is perceptible.
Excessive self-consciousness about the perceived odour, often including ideas of self-reference (i.e., the conviction that people are taking notice, judging, or talking about the odour).
The preoccupation or self-consciousness is accompanied by any of the following:
Repetitive and excessive behaviours, such as repeatedly checking for body odour or checking the perceived source of the smell (e.g., clothing), or repeatedly seeking reassurance;
Excessive attempts to camouflage, alter, or prevent the perceived odour (e.g., using perfume or deodorant, repetitive bathing, brushing teeth, or changing clothing, avoidance of certain foods);
Marked avoidance of social or other situations or stimuli that increase distress about the perceived foul or offensive odour (e.g., public transportation or other situations of close proximity to other people).
The symptoms are not a manifestation of another medical condition and are not due to the effects of a substance or medication on the central nervous system, including withdrawal effects.
The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Hoarding disorder,"Hoarding disorder is characterised by accumulation of possessions that results in living spaces becoming cluttered to the point that their use or safety is compromised. Accumulation occurs due to both repetitive urges or behaviours related to amassing items and difficulty discarding possessions due to a perceived need to save items and distress associated with discarding them. If living areas are uncluttered this is only due to the intervention of third parties (e.g., family members, cleaners, authorities). Amassment may be passive (e.g. accumulation of incoming flyers or mail) or active (e.g. excessive acquisition of free, purchased, or stolen items). The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Accumulation of possessions that results in living spaces becoming cluttered to the point that their use or safety is compromised. Note: If living areas are uncluttered this is only due to the intervention of third parties (e.g., family members, cleaners, authorities). Accumulation occurs due to both:
Repetitive urges or behaviours related to amassing items, which may be passive (e.g., accumulation of incoming flyers or mail) or active (e.g., excessive acquisition of free, purchased, or stolen items).
Difficulty discarding possessions due to a perceived need to save items and distress associated with discarding them.
The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning."
Body-focused repetitive behaviour disorders,"Body focused repetitive behaviour disorders are characterised by recurrent and habitual actions directed at the integument (e.g. hair-pulling, skin-picking, lip-biting), typically accompanied by unsuccessful attempts to decrease or stop the behaviour involved, and which lead to dermatological sequelae (e.g., hair loss, skin lesions, lip abrasions). The behaviour may occur in brief episodes scattered throughout the day or in less frequent but more sustained periods. The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Recurrent habitual actions directed at the integument other than hair pulling or skin picking (e.g., lip biting or nail biting),
Unsuccessful attempts to stop or decrease the behaviour.
Significant lesions or other impact on appearance resulting from the behaviour.
The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning."
Secondary obsessive-compulsive or related syndrome,"A syndrome characterised by the presence of prominent obsessions, compulsions, hoarding, skin picking, hair pulling, other body-focused repetitive behaviours, or other symptoms characteristic of obsessive-compulsive and related disorder that is judged to be the direct pathophysiological consequence of a disorder or disease not classified under Mental and behavioural disorders, based on evidence from the history, physical examination, or laboratory findings. The symptoms are not accounted for by Delirium or by another Mental and behavioural disorder, and are not a psychologically mediated response to a severe medical condition (e.g., repetitive ruminations in response to a life-threatening diagnosis). This category should be used in addition to the diagnosis for the presumed underlying disorder or disease when the obsessive-compulsive or related symptoms are sufficiently severe to warrant specific clinical attention.","The presence of prominent symptoms that are characteristic of Obsessive-Compulsive or Related Disorders, such as obsessions, compulsions, skin picking, hair pulling, or other body-focused repetitive behaviours.
The symptoms are judged to be the direct pathophysiological consequence of a medical condition, based on evidence from history, physical examination, or laboratory findings. This judgment depends on establishing that:
The medical condition is known to be capable of producing the symptoms;
The course of the symptoms (e.g., onset, remission, response to treatment of the etiological medical condition) is consistent with causation by the medical condition; and
The symptoms are not better accounted for by another mental disorder (e.g., an Obsessive-Compulsive or Related Disorder) or the effects of a medication or substance, including withdrawal effects.
The symptoms do not meet the diagnostic requirements for Secondary Tics, classified in the grouping of Movement Disorders in the chapter on Diseases of the Nervous System.
The symptoms are sufficiently severe to be a specific focus of clinical attention."
Tourette syndrome,"Tourette syndrome is a chronic tic disorder characterised by the presence of both chronic motor tics and vocal (phonic) tics, with onset during the developmental period. Motor and vocal tics are defined as sudden, rapid, non-rhythmic, and recurrent movements or vocalizations, respectively. In order to be diagnosed as Tourette syndrome, both motor and vocal tics must have been present for at least one year, although they may not manifest concurrently or consistently throughout the symptomatic course.","The presence of both motor tic(s) and phonic tic(s) that may or may not manifest concurrently or continuously during the symptomatic course.
Motor and phonic tics are defined as sudden, rapid, non-rhythmic, and recurrent movements or vocalizations, respectively.
Motor and phonic tics have been present for at least 1 year with onset during the developmental period.
The symptoms are not a manifestation of another medical condition (e.g., Huntington Disease) and are not due to the effects of a substance or medication on the central nervous system (e.g., amphetamine), including withdrawal effects (e.g., from benzodiazepines)."
Post traumatic stress disorder,"Post traumatic stress disorder (PTSD) may develop following exposure to an extremely threatening or horrific event or series of events. It is characterised by all of the following: 1) re-experiencing the traumatic event or events in the present in the form of vivid intrusive memories, flashbacks, or nightmares. Re-experiencing may occur via one or multiple sensory modalities and is typically accompanied by strong or overwhelming emotions, particularly fear or horror, and strong physical sensations; 2) avoidance of thoughts and memories of the event or events, or avoidance of activities, situations, or people reminiscent of the event(s); and 3) persistent perceptions of heightened current threat, for example as indicated by hypervigilance or an enhanced startle reaction to stimuli such as unexpected noises. The symptoms persist for at least several weeks and cause significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Exposure to an event or situation (either short- or long-lasting) of an extremely threatening or horrific nature. Such events include, but are not limited to, directly experiencing natural or human-made disasters, combat, serious accidents, torture, sexual violence, terrorism, assault or acute life-threatening illness (e.g., a heart attack); witnessing the threatened or actual injury or death of others in a sudden, unexpected, or violent manner; and learning about the sudden, unexpected or violent death of a loved one.
Following the traumatic event or situation, the development of a characteristic syndrome lasting for at least several weeks, consisting of all three core elements:
Re-experiencing the traumatic event in the present, in which the event(s) is not just remembered but is experienced as occurring again in the here and now. This typically occurs in the form of vivid intrusive memories or images; flashbacks, which can vary from mild (there is a transient sense of the event occurring again in the present) to severe (there is a complete loss of awareness of present surroundings), or repetitive dreams or nightmares that are thematically related to the traumatic event(s). Re-experiencing is typically accompanied by strong or overwhelming emotions, such as fear or horror, and strong physical sensations. Re-experiencing in the present can also involve feelings of being overwhelmed or immersed in the same intense emotions that were experienced during the traumatic event, without a prominent cognitive aspect, and may occur in response to reminders of the event. Reflecting on or ruminating about the event(s) and remembering the feelings that one experienced at that time are not sufficient to meet the re-experiencing requirement.
Deliberate avoidance of reminders likely to produce re-experiencing of the traumatic event(s). This may take the form either of active internal avoidance of thoughts and memories related to the event(s), or external avoidance of people, conversations, activities, or situations reminiscent of the event(s). In extreme cases the person may change their environment (e.g., move to a different city or change jobs) to avoid reminders.
Persistent perceptions of heightened current threat, for example as indicated by hypervigilance or an enhanced startle reaction to stimuli such as unexpected noises. Hypervigilant persons constantly guard themselves against danger and feel themselves or others close to them to be under immediate threat either in specific situations or more generally. They may adopt new behaviours designed to ensure safety (e.g., not sitting with ones’ back to the door, repeated checking in vehicles’ rear-view mirrors).
The disturbance results in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Complex post traumatic stress disorder,"Complex post traumatic stress disorder (Complex PTSD) is a disorder that may develop following exposure to an event or series of events of an extremely threatening or horrific nature, most commonly prolonged or repetitive events from which escape is difficult or impossible (e.g. torture, slavery, genocide campaigns, prolonged domestic violence, repeated childhood sexual or physical abuse). All diagnostic requirements for PTSD are met. In addition, Complex PTSD is characterised by severe and persistent 1) problems in affect regulation; 2) beliefs about oneself as diminished, defeated or worthless, accompanied by feelings of shame, guilt or failure related to the traumatic event; and 3) difficulties in sustaining relationships and in feeling close to others. These symptoms cause significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","Exposure to an event or series of events of an extremely threatening or horrific nature, most commonly prolonged or repetitive events from which escape is difficult or impossible. Such events include, but are not limited to, torture, concentration camps, slavery, genocide campaigns and other forms of organized violence, prolonged domestic violence, and repeated childhood sexual or physical abuse.
Following the traumatic event, the development of all three core elements of Post-Traumatic Stress Disorder, lasting for at least several weeks:
Re-experiencing the traumatic event after the traumatic event has occurred, in which the event(s) is not just remembered but is experienced as occurring again in the here and now. This typically occurs in the form of vivid intrusive memories or images; flashbacks, which can vary from mild (there is a transient sense of the event occurring again in the present) to severe (there is a complete loss of awareness of present surroundings), or repetitive dreams or nightmares that are thematically related to the traumatic event(s). Re-experiencing is typically accompanied by strong or overwhelming emotions, such as fear or horror, and strong physical sensations. Re-experiencing in the present can also involve feelings of being overwhelmed or immersed in the same intense emotions that were experienced during the traumatic event, without a prominent cognitive aspect, and may occur in response to reminders of the event. Reflecting on or ruminating about the event(s) and remembering the feelings that one experienced at that time are not sufficient to meet the re-experiencing requirement.
Deliberate avoidance of reminders likely to produce re-experiencing of the traumatic event(s). This may take the form either of active internal avoidance of thoughts and memories related to the event(s), or external avoidance of people, conversations, activities, or situations reminiscent of the event(s). In extreme cases the person may change their environment (e.g., move house or change jobs) to avoid reminders.
Persistent perceptions of heightened current threat, for example as indicated by hypervigilance or an enhanced startle reaction to stimuli such as unexpected noises. Hypervigilant persons constantly guard themselves against danger and feel themselves or others close to them to be under immediate threat either in specific situations or more generally. They may adopt new behaviours designed to ensure safety (not sitting with ones’ back to the door, repeated checking in vehicles’ rear-view mirror). In Complex Post-Traumatic Stress Disorder, unlike in Post-Traumatic Stress Disorder, the startle reaction may in some cases be diminished rather than enhanced.
Severe and pervasive problems in affect regulation. Examples include heightened emotional reactivity to minor stressors, violent outbursts, reckless or self-destructive behaviour, dissociative symptoms when under stress, and emotional numbing, particularly the inability to experience pleasure or positive emotions.
Persistent beliefs about oneself as diminished, defeated or worthless, accompanied by deep and pervasive feelings of shame, guilt or failure related to the stressor. For example, the individual may feel guilty about not having escaped from or succumbing to the adverse circumstance, or not having been able to prevent the suffering of others.
Persistent difficulties in sustaining relationships and in feeling close to others. The person may consistently avoid, deride or have little interest in relationships and social engagement more generally. Alternatively, there may be occasional intense relationships, but the person has difficulty sustaining them.
The disturbance results in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Prolonged grief disorder,"Prolonged grief disorder is a disturbance in which, following the death of a partner, parent, child, or other person close to the bereaved, there is persistent and pervasive grief response characterised by longing for the deceased or persistent preoccupation with the deceased accompanied by intense emotional pain (e.g. sadness, guilt, anger, denial, blame, difficulty accepting the death, feeling one has lost a part of one’s self, an inability to experience positive mood, emotional numbness, difficulty in engaging with social or other activities). The grief response has persisted for an atypically long period of time following the loss (more than 6 months at a minimum) and clearly exceeds expected social, cultural or religious norms for the individual’s culture and context. Grief reactions that have persisted for longer periods that are within a normative period of grieving given the person’s cultural and religious context are viewed as normal bereavement responses and are not assigned a diagnosis. The disturbance causes significant impairment in personal, family, social, educational, occupational or other important areas of functioning.","History of bereavement following the death of a partner, parent, child, or other person close to the bereaved.
A persistent and pervasive grief response characterized by longing for the deceased or persistent preoccupation with the deceased accompanied by intense emotional pain. This may be manifested by experiences such as sadness, guilt, anger, denial, blame, difficulty accepting the death, feeling one has lost a part of one’s self, an inability to experience positive mood, emotional numbness, and difficulty in engaging with social or other activities.
The pervasive grief response has persisted for an atypically long period of time following the loss, markedly exceeding expected social, cultural or religious norms for the individual’s culture and context. Grief responses lasting for less than 6 months, and for longer periods in some cultural contexts, should not be regarded as meeting this requirement.
The disturbance results in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort."
Adjustment disorder,"Adjustment disorder is a maladaptive reaction to an identifiable psychosocial stressor or multiple stressors (e.g. divorce, illness or disability, socio-economic problems, conflicts at home or work) that usually emerges within a month of the stressor. The disorder is characterised by preoccupation with the stressor or its consequences, including excessive worry, recurrent and distressing thoughts about the stressor, or constant rumination about its implications, as well as by failure to adapt to the stressor that causes significant impairment in personal, family, social, educational, occupational or other important areas of functioning. The symptoms are not better explained by another mental disorder (e.g., Mood Disorder, another Disorder Specifically Associated with Stress) and typically resolve within 6 months, unless the stressor persists for a longer duration.","A maladaptive reaction to an identifiable psychosocial stressor or multiple stressors (e.g., single stressful event, ongoing psychosocial difficulty or a combination of stressful life situations) that usually emerges within a month of the stressor. Examples include divorce or loss of a relationship, loss of a job, diagnosis of an illness, recent onset of a disability, and conflicts at home or work.
The reaction to the stressor is characterized by preoccupation with the stressor or its consequences, including excessive worry, recurrent and distressing thoughts about the stressor, or constant rumination about its implications.
The symptoms are not better accounted for by another mental disorder (e.g., a Mood Disorder, another Disorder Specifically Associated with Stress).
Once the stressor and its consequences have ended, the symptoms resolve within 6 months.
Failure to adapt to the stressor results in significant impairment in personal, family, social, educational, occupational or other importantareas of functioning. If functioning is maintained, it is only through significant additional effort."
